popularity,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,size
0.49738219895287966,0.25,0.25,0.75,0.5,0.5,0.271491976338991
0.49738219895287966,0.0,0.75,0.75,0.5,0.25,0.3038211924378476
0.49738219895287966,0.25,0.75,0.75,0.5,0.25,0.4478621601832181
0.49738219895287966,0.25,0.0,0.5,0.5,0.75,0.06194843847788997
0.49738219895287966,0.25,0.5,0.75,1.0,0.75,0.13371513395128448
0.2356020942408377,1.0,0.0,0.5,0.5,1.0,0.10968035040441737
0.9005235602094241,1.0,0.5,0.5,0.25,0.25,0.6668873939203875
0.09424083769633508,1.0,0.0,0.5,1.0,0.5,0.15876507109531446
0.03141361256544503,1.0,0.0,0.5,1.0,0.75,0.3303982361687055
0.03141361256544503,1.0,0.0,0.5,1.0,0.75,0.0663488961292899
0.8324607329842932,1.0,0.0,0.5,0.25,0.25,0.2742008760110433
0.7958115183246074,1.0,0.0,0.75,1.0,0.25,0.3317499508853043
0.04712041884816754,1.0,0.0,0.5,0.0,0.75,0.02572743557398574
0.5863874345549739,0.75,0.0,0.75,0.0,0.0,0.5389233382893309
0.49738219895287966,0.5,0.75,0.25,0.25,0.0,0.8175334243339417
0.49738219895287966,0.25,1.0,1.0,0.0,0.0,0.49525422884699655
0.3769633507853403,0.0,0.5,0.5,0.25,0.0,0.16079537828964002
0.5287958115183247,0.25,0.5,0.5,0.0,0.0,0.8212563835553859
0.8848167539267017,0.75,0.5,0.75,0.0,0.0,0.34596757148443785
0.49738219895287966,0.25,0.25,0.5,0.25,0.0,0.7373023746771833
0.7696335078534032,0.5,0.5,0.5,0.75,1.0,0.08293666718549786
0.6335078534031414,0.25,0.5,0.75,1.0,1.0,0.19464841883201167
0.49738219895287966,0.25,0.5,0.5,0.0,1.0,0.23019411140150203
0.6596858638743457,0.75,0.5,0.5,0.25,1.0,0.42721268069058804
0.2356020942408377,1.0,0.0,0.5,0.5,1.0,0.10968035040441737
0.49738219895287966,0.5,0.5,0.25,1.0,1.0,0.05077737271801569
0.10471204188481675,0.25,0.0,0.5,1.0,1.0,0.22579146565456015
0.052356020942408384,0.25,0.25,0.75,0.75,1.0,0.4614022823523959
0.1518324607329843,0.75,0.25,0.5,1.0,1.0,0.21936070080883463
0.418848167539267,0.75,0.25,0.5,0.75,1.0,0.0883533724818315
0.12041884816753928,0.5,0.25,0.5,0.75,1.0,0.08327541640047575
0.3979057591623037,0.5,0.5,1.0,0.5,1.0,0.5727763788317025
0.0,0.25,0.75,1.0,1.0,1.0,0.5243691565707613
0.87434554973822,0.0,0.0,0.5,0.5,1.0,0.12965233146709154
0.18848167539267016,0.75,0.0,0.5,0.5,1.0,0.03520584930674145
0.2774869109947644,0.25,0.5,0.5,1.0,1.0,0.06533374253212718
0.06282722513089005,0.25,0.75,0.75,0.5,1.0,0.16655302089649338
0.49738219895287966,0.0,0.25,0.75,0.25,1.0,0.5189513572266568
0.5549738219895288,0.5,0.25,0.75,0.5,1.0,0.21191259427040454
0.6439790575916231,0.5,1.0,1.0,0.75,0.25,0.652669773321254
0.1099476439790576,0.5,1.0,0.75,0.75,0.25,0.6516546197240912
0.9319371727748692,0.25,1.0,0.5,0.25,0.25,0.41976457415215784
0.49738219895287966,0.25,1.0,1.0,0.0,0.0,0.49525422884699655
0.2879581151832461,0.25,1.0,0.75,0.5,0.5,0.4620808748301225
0.17277486910994766,0.75,1.0,0.75,1.0,0.75,0.25524404854553195
0.49738219895287966,0.25,0.75,1.0,0.0,0.25,0.44820200344596683
0.28272251308900526,0.0,0.75,1.0,0.0,0.25,0.35443083162003075
0.49738219895287966,0.25,0.75,0.5,0.5,0.25,0.3896377749745432
0.49738219895287966,0.25,0.75,0.75,0.75,0.25,0.517936203629494
0.020942408376963352,0.5,0.75,0.5,0.5,0.75,0.28706678189357804
0.49738219895287966,0.5,0.75,0.25,0.25,0.0,0.8175334243339417
0.23036649214659688,0.5,0.75,0.75,0.5,0.25,0.5338475703035171
0.3298429319371728,0.0,0.75,0.5,0.0,0.25,0.39776228589515816
0.7434554973821991,0.25,0.75,0.5,0.5,0.25,0.4475266931115529
0.08376963350785341,0.0,0.75,1.0,1.0,0.5,0.6235559396452602
0.3455497382198953,0.0,0.75,0.5,0.5,0.5,0.6780606477758038
0.49738219895287966,0.25,0.75,0.75,0.5,0.25,0.5006720281911011
0.9790575916230367,0.0,0.75,0.75,0.5,0.75,0.5433259840362727
0.4869109947643979,0.5,0.75,0.75,0.75,0.75,0.5453562912305983
0.7748691099476441,0.25,0.75,0.5,0.5,0.25,0.3354740041545194
0.4712041884816754,0.25,0.75,1.0,1.0,0.75,0.5206451033015462
0.015706806282722516,0.0,0.75,0.25,0.5,0.5,0.1821245443077677
0.005235602094240838,0.25,0.75,0.5,1.0,0.5,0.5517892441718657
0.041884816753926704,0.25,0.75,1.0,1.0,0.75,0.4905161160283896
0.32460732984293195,0.25,0.75,1.0,1.0,0.25,0.517936203629494
0.49738219895287966,0.5,0.75,0.5,0.5,0.25,0.2657376158754504
0.8481675392670158,0.25,0.75,0.5,0.25,0.25,0.7037858952542476
0.0,0.25,0.75,1.0,1.0,1.0,0.5243691565707613
0.4816753926701571,0.75,0.75,0.5,1.0,0.75,0.8402132110208972
0.06282722513089005,0.25,0.75,0.75,0.5,1.0,0.16655302089649338
0.49738219895287966,0.0,0.75,0.75,0.5,0.25,0.3038211924378476
0.49738219895287966,0.25,0.75,0.75,0.5,0.25,0.4478621601832181
0.14136125654450263,0.25,0.75,0.5,0.5,0.75,0.13202248192416588
0.49738219895287966,0.25,0.75,0.25,0.5,0.5,0.6178015791817195
0.973821989528796,0.0,0.0,0.25,0.5,0.25,0.529785861867095
0.49738219895287966,0.5,0.5,0.25,1.0,1.0,0.05077737271801569
0.6282722513089006,0.0,0.25,0.25,0.5,0.25,0.9167245835995242
0.49738219895287966,0.5,0.0,0.25,0.5,0.75,0.09292265771683494
0.49738219895287966,0.0,0.5,0.25,0.5,0.5,0.8063601704785255
0.49738219895287966,0.5,0.75,0.25,0.25,0.0,0.8175334243339417
0.08900523560209424,0.25,0.25,0.25,1.0,0.75,0.14928665736255875
0.49738219895287966,0.25,0.5,0.25,0.5,0.5,0.7207135095732043
0.015706806282722516,0.0,0.75,0.25,0.5,0.5,0.1821245443077677
0.49738219895287966,0.0,0.5,0.25,0.5,0.5,0.42010332336713585
0.47643979057591623,0.5,0.5,0.25,0.0,0.25,0.049424563953645945
0.49738219895287966,0.0,0.5,0.25,0.5,0.5,0.6431924536362694
0.49738219895287966,0.5,0.5,0.25,0.5,0.5,0.9999999999999999
0.49738219895287966,0.25,0.5,0.25,0.5,0.5,0.7254527164395822
0.49738219895287966,0.25,0.75,0.25,0.5,0.5,0.6178015791817195
0.617801047120419,0.25,0.5,0.25,0.5,0.5,0.09004602450895008
0.49738219895287966,0.0,0.25,0.25,0.5,0.25,0.7941783273125721
0.49738219895287966,0.25,0.75,1.0,0.0,0.25,0.44820200344596683
0.28272251308900526,0.0,0.75,1.0,0.0,0.25,0.35443083162003075
0.6439790575916231,0.5,1.0,1.0,0.75,0.25,0.652669773321254
